City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
13,Lorengau,PG,81.5,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
37,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
52,Bethel,US,81.36,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
57,Palmer,US,81.99,scattered clouds,42.1584,-72.3287,Wedgewood Motel
62,Yinchuan,CN,82.08,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
63,Victoria,HK,84.33,broken clouds,22.2855,114.1577,Mini Hotel Central
67,Anloga,GH,82.62,broken clouds,5.7947,0.8973,Pin Drop Hotel
69,Caibarien,CU,84.99,scattered clouds,22.5206,-79.4669,La Nena
80,Kavieng,PG,81.57,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
92,Weinan,CN,80.29,overcast clouds,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
93,Belmonte,BR,80.6,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
114,Banfora,BF,82.29,light rain,10.6333,-4.7667,Residences David Hebié
121,Chakulia,IN,82.35,few clouds,22.4833,86.7167,BKD
127,Morden,CA,84.09,clear sky,49.1919,-98.1014,Morden Motor Inn
134,Marsh Harbour,BS,83.8,broken clouds,26.5412,-77.0636,Abaco Beach Resort
135,Beausejour,CA,81.79,broken clouds,50.0622,-96.5167,The Superior Inn & Conference Centre
140,Ternate,ID,80.83,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
148,Butaritari,KI,83.23,light rain,3.0707,172.7902,Isles Sunset Lodge
155,Karpathos,GR,82.36,clear sky,35.507,27.2132,Alex
156,Kudahuvadhoo,MV,82.62,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
157,Sinnamary,GF,84.96,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
172,Hambantota,LK,81.01,overcast clouds,6.1241,81.1185,Bungalow 63
177,Hithadhoo,MV,80.13,overcast clouds,-0.6,73.0833,Scoop Guest House
183,Panjakent,TJ,80.4,few clouds,39.4952,67.6093,Salom Hostel
190,Port Blair,IN,82.27,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
213,Kaduqli,SD,80.67,overcast clouds,11.0167,29.7167,فندق الله جابو
228,Lazaro Cardenas,MX,83.03,broken clouds,17.9583,-102.2,quinta antigua
246,Itoman,JP,80.62,shower rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
275,Lata,PT,84.04,few clouds,40.1629,-8.3327,Casa Maquia
277,Manali,IN,80.69,overcast clouds,13.1667,80.2667,Sarathy Lodge
279,Hamilton,US,80.1,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
282,Gat,IL,83.8,clear sky,31.61,34.7642,OlusHome
283,Lousa,PT,84.34,few clouds,40.1167,-8.2492,Palácio da Lousã
287,Santa Cruz,BO,83.66,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
288,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
290,Carutapera,BR,83.32,overcast clouds,-1.195,-46.02,Lidera
291,Kalmunai,LK,83.52,heavy intensity rain,7.4167,81.8167,VS Villa
293,Campbellsville,US,83.61,few clouds,37.3434,-85.3419,"Holiday Inn Express Campbellsville, an IHG Hotel"
311,Bull Savanna,JM,85.26,overcast clouds,17.8868,-77.5902,Big Red's
317,Rosetta,EG,84.02,clear sky,31.4044,30.4164,Green Valley
323,Naliya,IN,84.22,overcast clouds,23.2667,68.8333,jadeja jayendrasinh
329,Varkkallai,IN,82.18,light rain,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
330,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
331,Gizo,SB,80.69,scattered clouds,-8.103,156.8419,Imagination Island
332,Albert Lea,US,82.62,clear sky,43.648,-93.3683,Countryside Motel Albert Lea
336,Grafton,US,80.76,clear sky,42.207,-71.6856,The Grafton Inn
340,Somerset,US,82.69,broken clouds,40.5668,-74.5496,Hilton Garden Inn Bridgewater
344,Lagos,NG,82.72,overcast clouds,6.5833,3.75,
361,Katsuura,JP,80.11,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
375,Hannibal,US,85.33,clear sky,39.7084,-91.3585,Country Hearth Inn Hannibal
376,Yhu,PY,80.42,clear sky,-25.05,-55.9167,Rancho María Auxiliadora
379,Ponta Do Sol,PT,80.13,clear sky,32.6667,-17.1,Hotel do Campo
386,Banjar,ID,80.46,clear sky,-8.19,114.9675,The Hamsa Resort
391,Ayr,GB,82.38,few clouds,55.4627,-4.6339,Mercure Ayr Hotel
392,Turkeve,HU,81.01,broken clouds,47.1,20.75,Western Panzió
396,Misratah,LY,81.81,clear sky,32.3754,15.0925,فندق الماسة
397,Presidencia Roque Saenz Pena,AR,81.84,clear sky,-26.7852,-60.4388,Hotel Gualok
399,George Town,MY,85.89,few clouds,5.4112,100.3354,Cititel Penang
400,Lodja,CD,83.98,broken clouds,-3.4833,23.4333,
402,Meadow Lake,US,85.84,overcast clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
414,Nicoya,CR,84.52,overcast clouds,10.1483,-85.452,Guayacan Real
420,Tucumcari,US,83.95,scattered clouds,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
424,San Felipe,VE,84.63,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
425,Baculin,PH,80.64,overcast clouds,7.4525,126.5842,Shovy's Cove
428,Mahibadhoo,MV,82.78,overcast clouds,3.7833,72.9667,Omadhoo Inn
435,Trairi,BR,85.87,broken clouds,-3.2778,-39.2689,janelas do mar
440,Salalah,OM,80.01,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
448,Polis,CY,85.28,clear sky,35.0367,32.4264,Marion
457,Chalons-En-Champagne,FR,82.98,clear sky,48.9539,4.3672,Hotel D'Angleterre
465,Nago,JP,80.67,moderate rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
467,Bubaque,GW,81.52,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
472,Marsa Matruh,EG,81.48,clear sky,31.3525,27.2453,Beau Site
478,Panama City,PA,82.6,overcast clouds,8.9936,-79.5197,Hotel Riande Granada Urban
479,Kollam,IN,82.27,overcast clouds,8.8833,76.6,Nani Hotels and Resorts
484,Pundaguitan,PH,83.95,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
495,Presidente Olegario,BR,81.19,clear sky,-18.4178,-46.4181,Cruzeiro Hotel
502,Havre De Grace,US,82.42,broken clouds,39.5493,-76.0916,Super 8 by Wyndham Havre De Grace Aberdeen Area
506,Westport,US,83.05,broken clouds,41.1415,-73.3579,The Westport Inn
513,Bjelovar,HR,80.29,few clouds,45.8986,16.8489,Apartmani Borik
515,Pandan,PH,82.04,overcast clouds,14.0453,124.1694,Bonifacio Lodge
523,Barwani,IN,83.73,moderate rain,22.0333,74.9,Shree Mahalaxmi Guest House
530,Cedar City,US,80.19,overcast clouds,37.6775,-113.0619,Hampton Inn Cedar City
532,Khowst,AF,80.74,few clouds,33.3833,69.8833,وچه خوړه،Wacha Khwara
533,Akyab,MM,82.18,overcast clouds,20.15,92.9,Hotel Memory
534,Erzin,TR,84.72,scattered clouds,36.9559,36.2,Artemis Otel
542,Bereda,ES,80.42,broken clouds,43.2686,-7.5406,Pazo de Verdes
556,Galle,LK,80.01,light rain,6.0367,80.217,Amangalla
559,Mahuva,IN,83.34,overcast clouds,21.0914,71.7622,Hotel Blue Diamond.
562,Fairview,US,82.51,broken clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
569,Hauterive,FR,83.98,clear sky,46.0901,3.4459,Aletti Palace Hotel
580,Veraval,IN,82.99,overcast clouds,20.9,70.3667,Lords Inn Somnath
583,Marang,MY,81.57,overcast clouds,5.2056,103.2059,DBarakah Homestay
585,Suba,PH,83.68,overcast clouds,10.8438,121.0102,Casita Bed and Grill
591,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
594,Barpathar,IN,80.22,light rain,26.3,93.8667,chandan jyoti borah
601,Lexington,US,80.49,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
607,Chandbali,IN,83.35,overcast clouds,20.7833,86.7667,KABITA HOMES
608,Brigantine,US,83.01,scattered clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
618,Rexburg,US,84.42,broken clouds,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
632,Yuli,NG,81.36,light rain,9.6989,10.2744,
635,Amapa,BR,83.53,scattered clouds,1.0,-52.0,
638,Djambala,CG,83.07,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
639,Tukrah,LY,80.44,clear sky,32.5341,20.5791,Lokta restaurant
642,Kuching,MY,80.82,few clouds,1.55,110.3333,The Ranee Boutique Suites
644,Cananea,MX,82.74,overcast clouds,30.95,-110.3,Casas Montoya
652,Wajir,KE,85.48,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
656,Altinopolis,BR,83.44,clear sky,-21.0256,-47.3739,Hotel Vila das Palmeiras
658,Qui Nhon,VN,84.78,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
666,Eydhafushi,MV,82.76,overcast clouds,5.1033,73.0708,Soneva Fushi
682,Manta,EC,80.53,scattered clouds,-0.95,-80.7333,Balandra Hotel
